ID,WBS,Task Name,Duration (days),Start,Finish,Predecessors,Resource Names,Lump-Sum Cost (USD),Resource-Based Cost (USD),Cost1 (Resource-Based),Cost2 (Resource-Based)
37,1.1.4,Soil lab testing segment 4,20,2025-07-31,2025-08-19,36,Geotech Lab,80000,72000,72000,72000
38,1.1.4,Groundwater & pore pressure monitoring 4,45,2025-07-10,2025-08-23,36,Hydrogeology Team,60000,54000,54000,54000
39,1.2.4,Environmental sampling segment 4 - marine/terrestrial,25,2025-07-05,2025-07-29,,Environmental Consultants,50000,45000,45000,45000
40,1.3.4,Community consultations segment 4,14,2025-07-15,2025-07-28,,Communications,20000,18000,18000,18000
41,1.1.5,Geotech borings segment 5 (20 boreholes),30,2025-07-10,2025-08-08,,Geotech Team,200000,180000,180000,180000
42,1.1.5,Soil lab testing segment 5,20,2025-08-10,2025-08-29,41,Geotech Lab,80000,72000,72000,72000
43,1.1.5,Groundwater & pore pressure monitoring 5,45,2025-07-20,2025-09-02,41,Hydrogeology Team,60000,54000,54000,54000
44,1.2.5,Environmental sampling segment 5 - marine/terrestrial,25,2025-07-15,2025-08-08,,Environmental Consultants,50000,45000,45000,45000
45,1.3.5,Community consultations segment 5,14,2025-07-25,2025-08-07,,Communications,20000,18000,18000,18000
46,1.1.6,Geotech borings segment 6 (20 boreholes),30,2025-07-20,2025-08-18,,Geotech Team,200000,180000,180000,180000
47,1.1.6,Soil lab testing segment 6,20,2025-08-20,2025-09-08,46,Geotech Lab,80000,72000,72000,72000
48,1.1.6,Groundwater & pore pressure monitoring 6,45,2025-07-30,2025-09-12,46,Hydrogeology Team,60000,54000,54000,54000
49,1.2.6,Environmental sampling segment 6 - marine/terrestrial,25,2025-07-25,2025-08-18,,Environmental Consultants,50000,45000,45000,45000
50,1.3.6,Community consultations segment 6,14,2025-08-04,2025-08-17,,Communications,20000,18000,18000,18000
51,1.1.7,Geotech borings segment 7 (20 boreholes),30,2025-07-30,2025-08-28,,Geotech Team,200000,180000,180000,180000
52,1.1.7,Soil lab testing segment 7,20,2025-08-30,2025-09-18,51,Geotech Lab,80000,72000,72000,72000
53,1.1.7,Groundwater & pore pressure monitoring 7,45,2025-08-09,2025-09-22,51,Hydrogeology Team,60000,54000,54000,54000
54,1.2.7,Environmental sampling segment 7 - marine/terrestrial,25,2025-08-04,2025-08-28,,Environmental Consultants,50000,45000,45000,45000
55,1.3.7,Community consultations segment 7,14,2025-08-14,2025-08-27,,Communications,20000,18000,18000,18000
56,1.1.8,Geotech borings segment 8 (20 boreholes),30,2025-08-09,2025-09-07,,Geotech Team,200000,180000,180000,180000
57,1.1.8,Soil lab testing segment 8,20,2025-09-09,2025-09-28,56,Geotech Lab,80000,72000,72000,72000
58,1.1.8,Groundwater & pore pressure monitoring 8,45,2025-08-19,2025-10-02,56,Hydrogeology Team,60000,54000,54000,54000
59,1.2.8,Environmental sampling segment 8 - marine/terrestrial,25,2025-08-14,2025-09-07,,Environmental Consultants,50000,45000,45000,45000
60,1.3.8,Community consultations segment 8,14,2025-08-24,2025-09-06,,Communications,20000,18000,18000,18000
61,1.1.9,Geotech borings segment 9 (20 boreholes),30,2025-08-19,2025-09-17,,Geotech Team,200000,180000,180000,180000
62,1.1.9,Soil lab testing segment 9,20,2025-09-19,2025-10-08,61,Geotech Lab,80000,72000,72000,72000
63,1.1.9,Groundwater & pore pressure monitoring 9,45,2025-08-29,2025-10-12,61,Hydrogeology Team,60000,54000,54000,54000
64,1.2.9,Environmental sampling segment 9 - marine/terrestrial,25,2025-08-24,2025-09-17,,Environmental Consultants,50000,45000,45000,45000
65,1.3.9,Community consultations segment 9,14,2025-09-03,2025-09-16,,Communications,20000,18000,18000,18000
66,1.1.10,Geotech borings segment 10 (20 boreholes),30,2025-08-29,2025-09-27,,Geotech Team,200000,180000,180000,180000
67,1.1.10,Soil lab testing segment 10,20,2025-09-29,2025-10-18,66,Geotech Lab,80000,72000,72000,72000
68,1.1.10,Groundwater & pore pressure monitoring 10,45,2025-09-08,2025-10-22,66,Hydrogeology Team,60000,54000,54000,54000
69,1.2.10,Environmental sampling segment 10 - marine/terrestrial,25,2025-09-03,2025-09-27,,Environmental Consultants,50000,45000,45000,45000
70,1.3.10,Community consultations segment 10,14,2025-09-13,2025-09-26,,Communications,20000,18000,18000,18000
71,1.1.11,Geotech borings segment 11 (20 boreholes),30,2025-09-08,2025-10-07,,Geotech Team,200000,180000,180000,180000
72,1.1.11,Soil lab testing segment 11,20,2025-10-09,2025-10-28,71,Geotech Lab,80000,72000,72000,72000
73,1.1.11,Groundwater & pore pressure monitoring 11,45,2025-09-18,2025-11-01,71,Hydrogeology Team,60000,54000,54000,54000
74,1.2.11,Environmental sampling segment 11 - marine/terrestrial,25,2025-09-13,2025-10-07,,Environmental Consultants,50000,45000,45000,45000
75,1.3.11,Community consultations segment 11,14,2025-09-23,2025-10-06,,Communications,20000,18000,18000,18000
76,1.1.12,Geotech borings segment 12 (20 boreholes),30,2025-09-18,2025-10-17,,Geotech Team,200000,180000,180000,180000
77,1.1.12,Soil lab testing segment 12,20,2025-10-19,2025-11-07,76,Geotech Lab,80000,72000,72000,72000
78,1.1.12,Groundwater & pore pressure monitoring 12,45,2025-09-28,2025-11-11,76,Hydrogeology Team,60000,54000,54000,54000
79,1.2.12,Environmental sampling segment 12 - marine/terrestrial,25,2025-09-23,2025-10-17,,Environmental Consultants,50000,45000,45000,45000
80,1.3.12,Community consultations segment 12,14,2025-10-03,2025-10-16,,Communications,20000,18000,18000,18000
81,1.1.13,Geotech borings segment 13 (20 boreholes),30,2025-09-28,2025-10-27,,Geotech Team,200000,180000,180000,180000
82,1.1.13,Soil lab testing segment 13,20,2025-10-29,2025-11-17,81,Geotech Lab,80000,72000,72000,72000
83,1.1.13,Groundwater & pore pressure monitoring 13,45,2025-10-08,2025-11-21,81,Hydrogeology Team,60000,54000,54000,54000
84,1.2.13,Environmental sampling segment 13 - marine/terrestrial,25,2025-10-03,2025-10-27,,Environmental Consultants,50000,45000,45000,45000
85,1.3.13,Community consultations segment 13,14,2025-10-13,2025-10-26,,Communications,20000,18000,18000,18000
86,1.1.14,Geotech borings segment 14 (20 boreholes),30,2025-10-08,2025-11-06,,Geotech Team,200000,180000,180000,180000
87,1.1.14,Soil lab testing segment 14,20,2025-11-08,2025-11-27,86,Geotech Lab,80000,72000,72000,72000
88,1.1.14,Groundwater & pore pressure monitoring 14,45,2025-10-18,2025-12-01,86,Hydrogeology Team,60000,54000,54000,54000
89,1.2.14,Environmental sampling segment 14 - marine/terrestrial,25,2025-10-13,2025-11-06,,Environmental Consultants,50000,45000,45000,45000
90,1.3.14,Community consultations segment 14,14,2025-10-23,2025-11-05,,Communications,20000,18000,18000,18000
91,1.1.15,Geotech borings segment 15 (20 boreholes),30,2025-10-18,2025-11-16,,Geotech Team,200000,180000,180000,180000
92,1.1.15,Soil lab testing segment 15,20,2025-11-18,2025-12-07,91,Geotech Lab,80000,72000,72000,72000
93,1.1.15,Groundwater & pore pressure monitoring 15,45,2025-10-28,2025-12-11,91,Hydrogeology Team,60000,54000,54000,54000
94,1.2.15,Environmental sampling segment 15 - marine/terrestrial,25,2025-10-23,2025-11-16,,Environmental Consultants,50000,45000,45000,45000
95,1.3.15,Community consultations segment 15,14,2025-11-02,2025-11-15,,Communications,20000,18000,18000,18000
96,1.1.16,Geotech borings segment 16 (20 boreholes),30,2025-10-28,2025-11-26,,Geotech Team,200000,180000,180000,180000
97,1.1.16,Soil lab testing segment 16,20,2025-11-28,2025-12-17,96,Geotech Lab,80000,72000,72000,72000
98,1.1.16,Groundwater & pore pressure monitoring 16,45,2025-11-07,2025-12-21,96,Hydrogeology Team,60000,54000,54000,54000
99,1.2.16,Environmental sampling segment 16 - marine/terrestrial,25,2025-11-02,2025-11-26,,Environmental Consultants,50000,45000,45000,45000
100,1.3.16,Community consultations segment 16,14,2025-11-12,2025-11-25,,Communications,20000,18000,18000,18000
101,1.1.17,Geotech borings segment 17 (20 boreholes),30,2025-11-07,2025-12-06,,Geotech Team,200000,180000,180000,180000
102,1.1.17,Soil lab testing segment 17,20,2025-12-08,2025-12-27,101,Geotech Lab,80000,72000,72000,72000
103,1.1.17,Groundwater & pore pressure monitoring 17,45,2025-11-17,2025-12-31,101,Hydrogeology Team,60000,54000,54000,54000
104,1.2.17,Environmental sampling segment 17 - marine/terrestrial,25,2025-11-12,2025-12-06,,Environmental Consultants,50000,45000,45000,45000
105,1.3.17,Community consultations segment 17,14,2025-11-22,2025-12-05,,Communications,20000,18000,18000,18000
106,1.1.18,Geotech borings segment 18 (20 boreholes),30,2025-11-17,2025-12-16,,Geotech Team,200000,180000,180000,180000
107,1.1.18,Soil lab testing segment 18,20,2025-12-18,2026-01-06,106,Geotech Lab,80000,72000,72000,72000
108,1.1.18,Groundwater & pore pressure monitoring 18,45,2025-11-27,2026-01-10,106,Hydrogeology Team,60000,54000,54000,54000
109,1.2.18,Environmental sampling segment 18 - marine/terrestrial,25,2025-11-22,2025-12-16,,Environmental Consultants,50000,45000,45000,45000
110,1.3.18,Community consultations segment 18,14,2025-12-02,2025-12-15,,Communications,20000,18000,18000,18000
111,1.1.19,Geotech borings segment 19 (20 boreholes),30,2025-11-27,2025-12-26,,Geotech Team,200000,180000,180000,180000
112,1.1.19,Soil lab testing segment 19,20,2025-12-28,2026-01-16,111,Geotech Lab,80000,72000,72000,72000
113,1.1.19,Groundwater & pore pressure monitoring 19,45,2025-12-07,2026-01-20,111,Hydrogeology Team,60000,54000,54000,54000
114,1.2.19,Environmental sampling segment 19 - marine/terrestrial,25,2025-12-02,2025-12-26,,Environmental Consultants,50000,45000,45000,45000
115,1.3.19,Community consultations segment 19,14,2025-12-12,2025-12-25,,Communications,20000,18000,18000,18000
116,1.1.20,Geotech borings segment 20 (20 boreholes),30,2025-12-07,2026-01-05,,Geotech Team,200000,180000,180000,180000
117,1.1.20,Soil lab testing segment 20,20,2026-01-07,2026-01-26,116,Geotech Lab,80000,72000,72000,72000
118,1.1.20,Groundwater & pore pressure monitoring 20,45,2025-12-17,2026-01-30,116,Hydrogeology Team,60000,54000,54000,54000
119,1.2.20,Environmental sampling segment 20 - marine/terrestrial,25,2025-12-12,2026-01-05,,Environmental Consultants,50000,45000,45000,45000
120,1.3.20,Community consultations segment 20,14,2025-12-22,2026-01-04,,Communications,20000,18000,18000,18000
121,1.1.21,Geotech borings segment 21 (20 boreholes),30,2025-12-17,2026-01-15,,Geotech Team,200000,180000,180000,180000
122,1.1.21,Soil lab testing segment 21,20,2026-01-17,2026-02-05,121,Geotech Lab,80000,72000,72000,72000
123,1.1.21,Groundwater & pore pressure monitoring 21,45,2025-12-27,2026-02-09,121,Hydrogeology Team,60000,54000,54000,54000
124,1.2.21,Environmental sampling segment 21 - marine/terrestrial,25,2025-12-22,2026-01-15,,Environmental Consultants,50000,45000,45000,45000
125,1.3.21,Community consultations segment 21,14,2026-01-01,2026-01-14,,Communications,20000,18000,18000,18000
126,1.1.22,Geotech borings segment 22 (20 boreholes),30,2025-12-27,2026-01-25,,Geotech Team,200000,180000,180000,180000
127,1.1.22,Soil lab testing segment 22,20,2026-01-27,2026-02-15,126,Geotech Lab,80000,72000,72000,72000
128,1.1.22,Groundwater & pore pressure monitoring 22,45,2026-01-06,2026-02-19,126,Hydrogeology Team,60000,54000,54000,54000
129,1.2.22,Environmental sampling segment 22 - marine/terrestrial,25,2026-01-01,2026-01-25,,Environmental Consultants,50000,45000,45000,45000
130,1.3.22,Community consultations segment 22,14,2026-01-11,2026-01-24,,Communications,20000,18000,18000,18000
131,1.1.23,Geotech borings segment 23 (20 boreholes),30,2026-01-06,2026-02-04,,Geotech Team,200000,180000,180000,180000
132,1.1.23,Soil lab testing segment 23,20,2026-02-06,2026-02-25,131,Geotech Lab,80000,72000,72000,72000
133,1.1.23,Groundwater & pore pressure monitoring 23,45,2026-01-16,2026-03-01,131,Hydrogeology Team,60000,54000,54000,54000
134,1.2.23,Environmental sampling segment 23 - marine/terrestrial,25,2026-01-11,2026-02-04,,Environmental Consultants,50000,45000,45000,45000
135,1.3.23,Community consultations segment 23,14,2026-01-21,2026-02-03,,Communications,20000,18000,18000,18000
136,1.1.24,Geotech borings segment 24 (20 boreholes),30,2026-01-16,2026-02-14,,Geotech Team,200000,180000,180000,180000
137,1.1.24,Soil lab testing segment 24,20,2026-02-16,2026-03-07,136,Geotech Lab,80000,72000,72000,72000
138,1.1.24,Groundwater & pore pressure monitoring 24,45,2026-01-26,2026-03-11,136,Hydrogeology Team,60000,54000,54000,54000
139,1.2.24,Environmental sampling segment 24 - marine/terrestrial,25,2026-01-21,2026-02-14,,Environmental Consultants,50000,45000,45000,45000
140,1.3.24,Community consultations segment 24,14,2026-01-31,2026-02-13,,Communications,20000,18000,18000,18000
141,1.1.25,Geotech borings segment 25 (20 boreholes),30,2026-01-26,2026-02-24,,Geotech Team,200000,180000,180000,180000
142,1.1.25,Soil lab testing segment 25,20,2026-02-26,2026-03-17,141,Geotech Lab,80000,72000,72000,72000
143,1.1.25,Groundwater & pore pressure monitoring 25,45,2026-02-05,2026-03-21,141,Hydrogeology Team,60000,54000,54000,54000
144,1.2.25,Environmental sampling segment 25 - marine/terrestrial,25,2026-01-31,2026-02-24,,Environmental Consultants,50000,45000,45000,45000
145,1.3.25,Community consultations segment 25,14,2026-02-10,2026-02-23,,Communications,20000,18000,18000,18000
146,1.1.26,Geotech borings segment 26 (20 boreholes),30,2026-02-05,2026-03-06,,Geotech Team,200000,180000,180000,180000
147,1.1.26,Soil lab testing segment 26,20,2026-03-08,2026-03-27,146,Geotech Lab,80000,72000,72000,72000
148,1.1.26,Groundwater & pore pressure monitoring 26,45,2026-02-15,2026-03-31,146,Hydrogeology Team,60000,54000,54000,54000
149,1.2.26,Environmental sampling segment 26 - marine/terrestrial,25,2026-02-10,2026-03-06,,Environmental Consultants,50000,45000,45000,45000
150,1.3.26,Community consultations segment 26,14,2026-02-20,2026-03-05,,Communications,20000,18000,18000,18000
151,1.1.27,Geotech borings segment 27 (20 boreholes),30,2026-02-15,2026-03-16,,Geotech Team,200000,180000,180000,180000
152,1.1.27,Soil lab testing segment 27,20,2026-03-18,2026-04-06,151,Geotech Lab,80000,72000,72000,72000
153,1.1.27,Groundwater & pore pressure monitoring 27,45,2026-02-25,2026-04-10,151,Hydrogeology Team,60000,54000,54000,54000
154,1.2.27,Environmental sampling segment 27 - marine/terrestrial,25,2026-02-20,2026-03-16,,Environmental Consultants,50000,45000,45000,45000
155,1.3.27,Community consultations segment 27,14,2026-03-02,2026-03-15,,Communications,20000,18000,18000,18000
156,1.1.28,Geotech borings segment 28 (20 boreholes),30,2026-02-25,2026-03-26,,Geotech Team,200000,180000,180000,180000
157,1.1.28,Soil lab testing segment 28,20,2026-03-28,2026-04-16,156,Geotech Lab,80000,72000,72000,72000
158,1.1.28,Groundwater & pore pressure monitoring 28,45,2026-03-07,2026-04-20,156,Hydrogeology Team,60000,54000,54000,54000
159,1.2.28,Environmental sampling segment 28 - marine/terrestrial,25,2026-03-02,2026-03-26,,Environmental Consultants,50000,45000,45000,45000
160,1.3.28,Community consultations segment 28,14,2026-03-12,2026-03-25,,Communications,20000,18000,18000,18000
161,1.1.29,Geotech borings segment 29 (20 boreholes),30,2026-03-07,2026-04-05,,Geotech Team,200000,180000,180000,180000
162,1.1.29,Soil lab testing segment 29,20,2026-04-07,2026-04-26,161,Geotech Lab,80000,72000,72000,72000
163,1.1.29,Groundwater & pore pressure monitoring 29,45,2026-03-17,2026-04-30,161,Hydrogeology Team,60000,54000,54000,54000
164,1.2.29,Environmental sampling segment 29 - marine/terrestrial,25,2026-03-12,2026-04-05,,Environmental Consultants,50000,45000,45000,45000
165,1.3.29,Community consultations segment 29,14,2026-03-22,2026-04-04,,Communications,20000,18000,18000,18000
166,1.1.30,Geotech borings segment 30 (20 boreholes),30,2026-03-17,2026-04-15,,Geotech Team,200000,180000,180000,180000
167,1.1.30,Soil lab testing segment 30,20,2026-04-17,2026-05-06,166,Geotech Lab,80000,72000,72000,72000
168,1.1.30,Groundwater & pore pressure monitoring 30,45,2026-03-27,2026-05-10,166,Hydrogeology Team,60000,54000,54000,54000
169,1.2.30,Environmental sampling segment 30 - marine/terrestrial,25,2026-03-22,2026-04-15,,Environmental Consultants,50000,45000,45000,45000
170,1.3.30,Community consultations segment 30,14,2026-04-01,2026-04-14,,Communications,20000,18000,18000,18000
171,1.4,Hydrology & flood risk assessment,120,2025-05-31,2025-09-27,21,Hydrogeology Team,150000,135000,135000,135000
172,1.5,Seismic & fault line analysis,90,2025-06-10,2025-09-07,21,Seismic Experts,120000,110000,110000,110000
173,1.6,Aviation & airspace impact study,60,2025-06-05,2025-08-03,,Aviation Liaison,80000,72000,72000,72000
174,1.7,"Detailed EIA chapters - biodiversity, noise, visual",180,2025-06-30,2025-12-26,,Environmental Consultants,400000,360000,360000,360000
175,1.8,Permit applications (national level),240,2025-07-30,2026-03-26,,Legal Team,250000,230000,230000,230000
176,1.9,Cross-border regulatory alignment workshops,120,2025-08-29,2025-12-26,,Legal Team,150000,140000,140000,140000
177,1.10,Traffic & transport modelling,120,2025-06-20,2025-10-17,,Transport Modelers,180000,160000,160000,160000
178,2.1,Test track site selection & survey,60,2027-01-01,2027-03-01,,Survey Team,200000,180000,180000,180000
179,2.2,Test track geotech & soil improvement,120,2027-01-11,2027-05-10,,Geotech Team,400000,360000,360000,360000
180,2.3,Test track detailed design - civil,180,2027-01-21,2027-07-19,,Civil Engineering,800000,720000,720000,720000
181,2.4,Test track tube manufacturing prototype (pilot runs),240,2027-02-10,2027-10-07,,Tube Manufacturer,5000000,4500000,4500000,4500000
182,2.5,Vacuum system prototype design & pumps R&D,240,2027-02-10,2027-10-07,,Vacuum Systems,1200000,1080000,1080000,1080000
183,2.6,Pod prototype manufacture #1,300,2027-03-02,2027-12-26,,Pod Manufacturer,2000000,1800000,1800000,1800000
184,2.7,"Pod lab testing (aero, levitation)",120,2027-07-20,2027-11-16,create_task,Test Labs,500000,450000,450000,450000
185,2.8,TBM procurement - spec & RFP,90,2027-01-31,2027-04-30,,Procurement,150000,135000,135000,135000
186,2.9,TBM assembly & factory acceptance tests,120,2027-05-11,2027-09-07,,TBM Vendor,2000000,1800000,1800000,1800000
187,2.10,Test track civil works - pile foundations,180,2027-05-31,2027-11-26,,Construction Contractor,2000000,1800000,1800000,1800000
188,2.11,Tube segment fabrication batch 1,14,2027-07-27,2027-08-09,,Tube Manufacturer,100000,90000,90000,90000
189,2.12,Tube segment QA & NDT batch 1,7,2027-08-10,2027-08-16,,QA Team,20000,18000,18000,18000
190,2.13,Tube segment transport to site batch 1,10,2027-08-17,2027-08-26,,Logistics,30000,27000,27000,27000
191,2.11,Tube segment fabrication batch 2,14,2027-08-03,2027-08-16,,Tube Manufacturer,100000,90000,90000,90000
192,2.12,Tube segment QA & NDT batch 2,7,2027-08-17,2027-08-23,,QA Team,20000,18000,18000,18000
193,2.13,Tube segment transport to site batch 2,10,2027-08-24,2027-09-02,,Logistics,30000,27000,27000,27000
194,2.11,Tube segment fabrication batch 3,14,2027-08-10,2027-08-23,,Tube Manufacturer,100000,90000,90000,90000
195,2.12,Tube segment QA & NDT batch 3,7,2027-08-24,2027-08-30,,QA Team,20000,18000,18000,18000
196,2.13,Tube segment transport to site batch 3,10,2027-08-31,2027-09-09,,Logistics,30000,27000,27000,27000
197,2.11,Tube segment fabrication batch 4,14,2027-08-17,2027-08-30,,Tube Manufacturer,100000,90000,90000,90000
198,2.12,Tube segment QA & NDT batch 4,7,2027-08-31,2027-09-06,,QA Team,20000,18000,18000,18000
199,2.13,Tube segment transport to site batch 4,10,2027-09-07,2027-09-16,,Logistics,30000,27000,27000,27000
200,2.11,Tube segment fabrication batch 5,14,2027-08-24,2027-09-06,,Tube Manufacturer,100000,90000,90000,90000
201,2.12,Tube segment QA & NDT batch 5,7,2027-09-07,2027-09-13,,QA Team,20000,18000,18000,18000
202,2.13,Tube segment transport to site batch 5,10,2027-09-14,2027-09-23,,Logistics,30000,27000,27000,27000
203,2.11,Tube segment fabrication batch 6,14,2027-08-31,2027-09-13,,Tube Manufacturer,100000,90000,90000,90000
204,2.12,Tube segment QA & NDT batch 6,7,2027-09-14,2027-09-20,,QA Team,20000,18000,18000,18000
205,2.13,Tube segment transport to site batch 6,10,2027-09-21,2027-09-30,,Logistics,30000,27000,27000,27000
206,2.11,Tube segment fabrication batch 7,14,2027-09-07,2027-09-20,,Tube Manufacturer,100000,90000,90000,90000
207,2.12,Tube segment QA & NDT batch 7,7,2027-09-21,2027-09-27,,QA Team,20000,18000,18000,18000
208,2.13,Tube segment transport to site batch 7,10,2027-09-28,2027-10-07,,Logistics,30000,27000,27000,27000
209,2.11,Tube segment fabrication batch 8,14,2027-09-14,2027-09-27,,Tube Manufacturer,100000,90000,90000,90000
210,2.12,Tube segment QA & NDT batch 8,7,2027-09-28,2027-10-04,,QA Team,20000,18000,18000,18000
211,2.13,Tube segment transport to site batch 8,10,2027-10-05,2027-10-14,,Logistics,30000,27000,27000,27000
212,2.11,Tube segment fabrication batch 9,14,2027-09-21,2027-10-04,,Tube Manufacturer,100000,90000,90000,90000
213,2.12,Tube segment QA & NDT batch 9,7,2027-10-05,2027-10-11,,QA Team,20000,18000,18000,18000
214,2.13,Tube segment transport to site batch 9,10,2027-10-12,2027-10-21,,Logistics,30000,27000,27000,27000
215,2.11,Tube segment fabrication batch 10,14,2027-09-28,2027-10-11,,Tube Manufacturer,100000,90000,90000,90000
216,2.12,Tube segment QA & NDT batch 10,7,2027-10-12,2027-10-18,,QA Team,20000,18000,18000,18000
217,2.13,Tube segment transport to site batch 10,10,2027-10-19,2027-10-28,,Logistics,30000,27000,27000,27000
218,2.11,Tube segment fabrication batch 11,14,2027-10-05,2027-10-18,,Tube Manufacturer,100000,90000,90000,90000
219,2.12,Tube segment QA & NDT batch 11,7,2027-10-19,2027-10-25,,QA Team,20000,18000,18000,18000
220,2.13,Tube segment transport to site batch 11,10,2027-10-26,2027-11-04,,Logistics,30000,27000,27000,27000
221,2.11,Tube segment fabrication batch 12,14,2027-10-12,2027-10-25,,Tube Manufacturer,100000,90000,90000,90000
222,2.12,Tube segment QA & NDT batch 12,7,2027-10-26,2027-11-01,,QA Team,20000,18000,18000,18000
223,2.13,Tube segment transport to site batch 12,10,2027-11-02,2027-11-11,,Logistics,30000,27000,27000,27000
224,2.11,Tube segment fabrication batch 13,14,2027-10-19,2027-11-01,,Tube Manufacturer,100000,90000,90000,90000
225,2.12,Tube segment QA & NDT batch 13,7,2027-11-02,2027-11-08,,QA Team,20000,18000,18000,18000
226,2.13,Tube segment transport to site batch 13,10,2027-11-09,2027-11-18,,Logistics,30000,27000,27000,27000
227,2.11,Tube segment fabrication batch 14,14,2027-10-26,2027-11-08,,Tube Manufacturer,100000,90000,90000,90000
228,2.12,Tube segment QA & NDT batch 14,7,2027-11-09,2027-11-15,,QA Team,20000,18000,18000,18000
229,2.13,Tube segment transport to site batch 14,10,2027-11-16,2027-11-25,,Logistics,30000,27000,27000,27000
230,2.11,Tube segment fabrication batch 15,14,2027-11-02,2027-11-15,,Tube Manufacturer,100000,90000,90000,90000
231,2.12,Tube segment QA & NDT batch 15,7,2027-11-16,2027-11-22,,QA Team,20000,18000,18000,18000
232,2.13,Tube segment transport to site batch 15,10,2027-11-23,2027-12-02,,Logistics,30000,27000,27000,27000
